Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Completes),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Flink CDC 3.1 breaks operator state compatiblity,FLINK-35464,13580540,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,,xiqian_yu,xiqian_yu,xiqian_yu,27/May/24 11:31,04/Jun/24 09:26,04/Jun/24 20:40,,cdc-3.1.0,,,,,,,,cdc-3.1.1,,,Flink CDC,,,,0,pull-request-available,,"Flink CDC 3.1 changed how SchemaRegistry [de]serializes state data, which causes any checkpoint states saved with earlier version could not be restored in version 3.1.0.

This could be resolved by adding serialization versioning control logic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon May 27 11:34:04 UTC 2024,,,,,,,,,,"0|z1pft4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/May/24 11:32;xiqian_yu;[~Leonard] I'm willing to investigate this.;;;","27/May/24 11:34;leonard;Thanks [~xiqian_yu] for the investigation, and I improve the issue priority to blocker;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
CDC job failed when restored from checkpoint when route rule changed.,FLINK-35463,13580515,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,hk__lrzy,hk__lrzy,27/May/24 08:05,30/May/24 10:00,04/Jun/24 20:40,,,,,,,,,,,,,Flink CDC,,,,0,pull-request-available,,"*Exception:* 

 
{code:java}
java.lang.IllegalStateException: Unable to get latest schema for table ""demo.partition_all"" {code}
*Reason:* 

Now *ScheamRegister* will stored the all original tables which from source and all derivered table which from route rules.

Assume we have a table in mysql which named *demo.partition_all* and have route rule *demo1.partition_all* for it.

1. Before first checkpoint be triggered,  *ScheamRegister* will store both *demo.partition_all* and {*}demo1.partition_all{*}'s schema in the {*}SchemaManager{*}.

2. Stop the job, change route rule as {*}demo1.partition_all_1{*}, and restart it with checkpoint.

3. According the logical follow:
{code:java}
if (request.getSchemaChangeEvent() instanceof CreateTableEvent
    && schemaManager.schemaExists(request.getTableId())) {
  return CompletableFuture.completedFuture(
      wrap(new SchemaChangeResponse(Collections.emptyList())));
} {code}
We will not create a schema for the table *demo1.partition_all_1* and job will be failed when we request schema from {*}SchemaOperator{*}.

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-05-27 08:05:50.0,,,,,,,,,,"0|z1pfnk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduce a parameter to control the chaining mode between a Flink SQL connector sink or source and its adjacent operator.,FLINK-35462,13580513,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,heigebupahei,heigebupahei,27/May/24 07:48,27/May/24 07:50,04/Jun/24 20:40,,,,,,,,,,,,,Table SQL / Planner,,,,0,,,"When using the flinksql connector, we can set the parallelism of the sink. However, when we modify the parallelism of the sink to be the same as the global one, the global chaining strategy may cause the two operators to be linked together, When use checkpoint or savepoint recovery, which will make the task unable to proceed.  we should allow explicit specification of the chaining mode of the connector.
 
Related issues:

[https://github.com/apache/iceberg/issues/10371]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-05-27 07:48:58.0,,,,,,,,,,"0|z1pfn4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve Runtime Configuration for Flink 2.0,FLINK-35461,13580504,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Done,xuannan,xuannan,xuannan,27/May/24 03:48,30/May/24 07:01,04/Jun/24 20:40,30/May/24 07:01,,,,,,,,,1.20.0,,,Runtime / Configuration,,,,0,pull-request-available,,"As Flink moves toward 2.0, we have revisited all runtime configurations and identified several improvements to enhance user-friendliness and maintainability. We want to refine the runtime configuration.

 

This ticket implements all the changes discussed in [FLIP-450|https://cwiki.apache.org/confluence/display/FLINK/FLIP-450%3A+Improve+Runtime+Configuration+for+Flink+2.0].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu May 30 07:01:21 UTC 2024,,,,,,,,,,"0|z1pfl4:",9223372036854775807,"The following configurations have been deprecated  as we are phasing out the hash-based blocking shuffle:
- `taskmanager.network.sort-shuffle.min-parallelism`
- `taskmanager.network.blocking-shuffle.type`

The following configurations have been deprecated  as we are phasing out the legacy hybrid shuffle:
- `taskmanager.network.hybrid-shuffle.spill-index-region-group-size`
- `taskmanager.network.hybrid-shuffle.num-retained-in-memory-regions-max`
- `taskmanager.network.hybrid-shuffle.enable-new-mode`

The following configurations have been deprecated  to simply the configuration of network buffers:
- `taskmanager.network.memory.buffers-per-channel`
- `taskmanager.network.memory.floating-buffers-per-gate`
- `taskmanager.network.memory.max-buffers-per-channel`
- `taskmanager.network.memory.max-overdraft-buffers-per-gate`
- `taskmanager.network.memory.exclusive-buffers-request-timeout-ms` (Please use `taskmanager.network.memory.buffers-request-timeout` instead.)

The configuration `taskmanager.network.batch-shuffle.compression.enabled` has been deprecated. Please set `taskmanager.network.compression.codec` to ""NONE"" to disable compression.

The following Netty-related configurations are no longer recommended for use and have been deprecated:
- `taskmanager.network.netty.num-arenas`
- `taskmanager.network.netty.server.numThreads`
- `taskmanager.network.netty.client.numThreads`
- `taskmanager.network.netty.server.backlog`
- `taskmanager.network.netty.sendReceiveBufferSize`
- `taskmanager.network.netty.transport`

The following configurations are unnecessary and have been deprecated:
- `taskmanager.network.max-num-tcp-connections`
- `fine-grained.shuffle-mode.all-blocking`",,,,,,,,,,,,,,,,,,,"30/May/24 07:01;xtsong;master (1.20): 132722e1b43607fe2236ecbbc3ba1faad1ad147f;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check file size when position read for ForSt,FLINK-35460,13580501,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,masteryhx,masteryhx,masteryhx,27/May/24 03:13,28/May/24 01:57,04/Jun/24 20:40,28/May/24 01:57,,,,,,,,,1.20.0,,,Runtime / State Backends,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue May 28 01:57:02 UTC 2024,,,,,,,,,,"0|z1pfkg:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/May/24 01:57;masteryhx;Merged 9fbe9f30 into master.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use Incremental Source Framework in Flink CDC TiKV Source Connector,FLINK-35459,13580500,,New Feature,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,ouyangwuli,ouyangwuli,27/May/24 02:51,27/May/24 02:51,04/Jun/24 20:40,,cdc-3.2.0,,,,,,,,cdc-3.2.0,,,Flink CDC,,,,0,,,Use Incremental Source Framework in Flink CDC TiKV Source Connector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-05-27 02:51:48.0,,,,,,,,,,"0|z1pfk8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add serializer upgrade test for set serializer,FLINK-35458,13580498,13564005,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,Zhanghao Chen,Zhanghao Chen,27/May/24 02:43,27/May/24 02:43,04/Jun/24 20:40,,1.20.0,,,,,,,,2.0.0,,,API / Type Serialization System,,,,0,,,"New dedicated serializer for Sets is introduced in [FLINK-35068|https://issues.apache.org/jira/browse/FLINK-35068]. Since serializer upgrade test requires at least one previous release to test the upgrade of set serializers (which does not exist yet), we'll add the upgrade test for set serializer after the release of v1.20.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-05-27 02:43:04.0,,,,,,,,,,"0|z1pfjs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventTimeWindowCheckpointingITCase fails on AZP as NPE,FLINK-35457,13580497,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,Yanfei Lei,Weijie Guo,Weijie Guo,27/May/24 02:29,31/May/24 10:20,04/Jun/24 20:40,28/May/24 03:11,1.20.0,,,,,,,,,,,Build System / CI,,,,0,pull-request-available,,"
{code:java}
Caused by: java.lang.NullPointerException
	at org.apache.flink.runtime.checkpoint.filemerging.PhysicalFile.deleteIfNecessary(PhysicalFile.java:155)
	at org.apache.flink.runtime.checkpoint.filemerging.PhysicalFile.decRefCount(PhysicalFile.java:141)
	at org.apache.flink.runtime.checkpoint.filemerging.LogicalFile.discardWithCheckpointId(LogicalFile.java:118)
	at org.apache.flink.runtime.checkpoint.filemerging.FileMergingSnapshotManagerBase.discardSingleLogicalFile(FileMergingSnapshotManagerBase.java:574)
	at org.apache.flink.runtime.checkpoint.filemerging.FileMergingSnapshotManagerBase.discardLogicalFiles(FileMergingSnapshotManagerBase.java:588)
	at org.apache.flink.runtime.checkpoint.filemerging.FileMergingSnapshotManagerBase.notifyCheckpointAborted(FileMergingSnapshotManagerBase.java:490)
	at org.apache.flink.runtime.checkpoint.filemerging.WithinCheckpointFileMergingSnapshotManager.notifyCheckpointAborted(WithinCheckpointFileMergingSnapshotManager.java:61)
	at org.apache.flink.streaming.runtime.tasks.SubtaskCheckpointCoordinatorImpl.notifyFileMergingSnapshotManagerCheckpoint(SubtaskCheckpointCoordinatorImpl.java:505)
	at org.apache.flink.streaming.runtime.tasks.SubtaskCheckpointCoordinatorImpl.notifyCheckpoint(SubtaskCheckpointCoordinatorImpl.java:490)
	at org.apache.flink.streaming.runtime.tasks.SubtaskCheckpointCoordinatorImpl.notifyCheckpointAborted(SubtaskCheckpointCoordinatorImpl.java:414)
	at org.apache.flink.streaming.runtime.tasks.StreamTask.lambda$notifyCheckpointAbortAsync$21(StreamTask.java:1513)
	at org.apache.flink.streaming.runtime.tasks.StreamTask.lambda$notifyCheckpointOperation$23(StreamTask.java:1536)
	at org.apache.flink.streaming.runtime.tasks.StreamTaskActionExecutor$1.runThrowing(StreamTaskActionExecutor.java:50)
	at org.apache.flink.streaming.runtime.tasks.mailbox.Mail.run(Mail.java:90)
	at org.apache.flink.streaming.runtime.tasks.mailbox.MailboxProcessor.runMail(MailboxProcessor.java:398)
	at org.apache.flink.streaming.runtime.tasks.mailbox.MailboxProcessor.processMailsWhenDefaultActionUnavailable(MailboxProcessor.java:367)
	at org.apache.flink.streaming.runtime.tasks.mailbox.MailboxProcessor.processMail(MailboxProcessor.java:352)
	at org.apache.flink.streaming.runtime.tasks.mailbox.MailboxProcessor.runMailboxLoop(MailboxProcessor.java:229)
	at org.apache.flink.streaming.runtime.tasks.StreamTask.afterInvoke(StreamTask.java:998)
	at org.apache.flink.streaming.runtime.tasks.StreamTask.invoke(StreamTask.java:923)
	at org.apache.flink.runtime.taskmanager.Task.runWithSystemExitMonitoring(Task.java:970)
	at org.apache.flink.runtime.taskmanager.Task.restoreAndInvoke(Task.java:949)
	at org.apache.flink.runtime.taskmanager.Task.doRun(Task.java:763)
	at org.apache.flink.runtime.taskmanager.Task.run(Task.java:575)
	at java.lang.Thread.run(Thread.java:748)
{code}

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59821&view=logs&j=39d5b1d5-3b41-54dc-6458-1e2ddd1cdcf3&t=0c010d0c-3dec-5bf1-d408-7b18988b1b2b&l=8538
",,,,,,,,,,,,,,,,,,,,FLINK-35418,,,FLINK-35446,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue May 28 03:10:42 UTC 2024,,,,,,,,,,"0|z1pfjk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/May/24 03:10;Yanfei Lei;Merged into master via 1e996b8;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Many tests fails on AZP as NPE related to FileMerging,FLINK-35456,13580496,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,,Weijie Guo,Weijie Guo,27/May/24 02:20,30/May/24 05:16,04/Jun/24 20:40,30/May/24 05:16,1.20.0,,,,,,,,1.20.0,,,Build System / CI,,,,0,,,"{code:java}
May 25 02:12:16 Caused by: java.lang.NullPointerException
May 25 02:12:16 	at org.apache.flink.runtime.checkpoint.filemerging.FileMergingSnapshotManagerBase.isManagedByFileMergingManager(FileMergingSnapshotManagerBase.java:733)
May 25 02:12:16 	at org.apache.flink.runtime.checkpoint.filemerging.FileMergingSnapshotManagerBase.lambda$null$4(FileMergingSnapshotManagerBase.java:687)
May 25 02:12:16 	at java.util.HashMap.computeIfAbsent(HashMap.java:1127)
May 25 02:12:16 	at org.apache.flink.runtime.checkpoint.filemerging.FileMergingSnapshotManagerBase.lambda$restoreStateHandles$5(FileMergingSnapshotManagerBase.java:683)
May 25 02:12:16 	at java.util.stream.ForEachOps$ForEachOp$OfRef.accept(ForEachOps.java:183)
May 25 02:12:16 	at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193)
May 25 02:12:16 	at java.util.stream.ReferencePipeline$2$1.accept(ReferencePipeline.java:175)
May 25 02:12:16 	at java.util.stream.ForEachOps$ForEachOp$OfRef.accept(ForEachOps.java:183)
May 25 02:12:16 	at java.util.stream.Streams$StreamBuilderImpl.forEachRemaining(Streams.java:419)
May 25 02:12:16 	at java.util.stream.ReferencePipeline$Head.forEach(ReferencePipeline.java:647)
May 25 02:12:16 	at java.util.stream.ReferencePipeline$7$1.accept(ReferencePipeline.java:272)
May 25 02:12:16 	at java.util.ArrayList$Itr.forEachRemaining(ArrayList.java:901)
May 25 02:12:16 	at java.util.Spliterators$IteratorSpliterator.forEachRemaining(Spliterators.java:1801)
May 25 02:12:16 	at java.util.stream.Streams$ConcatSpliterator.forEachRemaining(Streams.java:742)
May 25 02:12:16 	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482)
May 25 02:12:16 	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472)
May 25 02:12:16 	at java.util.stream.ForEachOps$ForEachOp.evaluateSequential(ForEachOps.java:150)
May 25 02:12:16 	at java.util.stream.ForEachOps$ForEachOp$OfRef.evaluateSequential(ForEachOps.java:173)
May 25 02:12:16 	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234)
May 25 02:12:16 	at java.util.stream.ReferencePipeline.forEach(ReferencePipeline.java:485)
May 25 02:12:16 	at java.util.stream.ReferencePipeline$7$1.accept(ReferencePipeline.java:272)
May 25 02:12:16 	at java.util.Spliterators$ArraySpliterator.forEachRemaining(Spliterators.java:948)
May 25 02:12:16 	at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482)
May 25 02:12:16 	at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472)
May 25 02:12:16 	at java.util.stream.ForEachOps$ForEachOp.evaluateSequential(ForEachOps.java:150)
May 25 02:12:16 	at java.util.stream.ForEachOps$ForEachOp$OfRef.evaluateSequential(ForEachOps.java:173)
May 25 02:12:16 	at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234)
May 25 02:12:16 	at java.util.stream.ReferencePipeline.forEach(ReferencePipeline.java:485)
May 25 02:12:16 	at org.apache.flink.runtime.checkpoint.filemerging.FileMergingSnapshotManagerBase.restoreStateHandles(FileMergingSnapshotManagerBase.java:680)
May 25 02:12:16 	at org.apache.flink.runtime.checkpoint.filemerging.SubtaskFileMergingManagerRestoreOperation.restore(SubtaskFileMergingManagerRestoreOperation.java:102)
May 25 02:12:16 	at org.apache.flink.streaming.api.operators.StreamTaskStateInitializerImpl.registerRestoredStateToFileMergingManager(StreamTaskStateInitializerImpl.java:353)
{code}

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59821&view=logs&j=a9db68b9-a7e0-54b6-0f98-010e0aff39e2&t=cdd32e0b-6047-565b-c58f-14054472f1be&l=12158
",,,,,,,,,,,,,,,,,,,,,,,FLINK-35446,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu May 30 05:16:38 UTC 2024,,,,,,,,,,"0|z1pfjc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/May/24 02:40;Weijie Guo;WindowJoinITCase.testInnerJoinOnWTFWithOffset also has same issue:

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59821&view=logs&j=ce3801ad-3bd5-5f06-d165-34d37e757d90&t=5e4d9387-1dcc-5885-a901-90469b7e6d2f&l=11935;;;","27/May/24 02:43;Weijie Guo;testTop1WithGroupByCount:535->testTopNthWithGroupByCountBase

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59828&view=logs&j=a9db68b9-a7e0-54b6-0f98-010e0aff39e2&t=cdd32e0b-6047-565b-c58f-14054472f1be&l=12064;;;","27/May/24 02:44;Weijie Guo;SplitAggregateITCase.testMultipleDistinctAggOnSameColumn

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59828&view=logs&j=32715a4c-21b8-59a3-4171-744e5ab107eb&t=ff64056b-5320-5afe-c22c-6fa339e59586&l=11930
;;;","27/May/24 04:00;Weijie Guo;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59839&view=logs&j=a9db68b9-a7e0-54b6-0f98-010e0aff39e2&t=cdd32e0b-6047-565b-c58f-14054472f1be&l=11943

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59839&view=logs&j=f2c100be-250b-5e85-7bbe-176f68fcddc5&t=05efd11e-5400-54a4-0d27-a4663be008a9&l=12577

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59839&view=logs&j=26b84117-e436-5720-913e-3e280ce55cae&t=77cc7e77-39a0-5007-6d65-4137ac13a471&l=12538;;;","30/May/24 05:16;Weijie Guo;This should be resolved by FLINK-35446.;;;",,,,,,,,,,,,,,,,,,,,,,,,
Non-idempotent unit tests,FLINK-35455,13580486,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,kaiyaok2,kaiyaok2,26/May/24 16:33,26/May/24 16:33,04/Jun/24 20:40,,,,,,,,,,,,,,,,,0,,,"We found that several unit tests are non-idempotent, as they pass in the first run but fail in the second run. These will not be triggered by the CI since Surefire only executes a test once by default. A fix is necessary since unit tests shall be self-contained, ensuring that the state of the system under test is consistent at the beginning of each test. In practice, fixing non-idempotent tests can help proactively avoid state pollution that results in test order dependency (which could cause problems under test selection , prioritization or parallelization).

An example of a non-idempotent test:
`SerializerConfigImplTest#testLoadingTypeInfoFactoriesFromSerializationConfig`
This test fails in repeated runs because a typeInfoFactory for type `class org.apache.flink.api.common.serialization.SerializerConfigImplTest` is already registered in the first test execution.

Reproduce (using the `NIOInspector` plugin because Surefire does not support re-running a specific test twice without changing the source code):
```
cd flink-core
mvn edu.illinois:NIOInspector:rerun -Dtest=org.apache.flink.api.common.serialization.SerializerConfigImplTest#testLoadingTypeInfoFactoriesFromSerializationConfig
```

Please kindly let us know if you find it necessary to resolve test non-idempotency. We would open PRs to fix tests like this if so.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-05-26 16:33:31.0,,,,,,,,,,"0|z1pfh4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connector ArchTests fails due to dependency on fink.util.Preconditions,FLINK-35454,13580477,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,chalixar,chalixar,chalixar,26/May/24 08:37,28/May/24 22:38,04/Jun/24 20:40,28/May/24 22:38,1.20.0,,,,,,,,1.20.0,,,Test Infrastructure,,,,0,pull-request-available,,"h2. Description
 - Arch Unit Rules for connectors limits dependencies of any classes in connectors on @Public or @PublicEvolving with exceptions of connector package classes, this is not true since we should be able to depend on internal util classes like {{Preconditions}} and {{ExceptionsUtils}}

{code:java}
freeze(
                    javaClassesThat(resideInAnyPackage(CONNECTOR_PACKAGES))
                            .and()
                            .areNotAnnotatedWith(Deprecated.class)
                            .should()
                            .onlyDependOnClassesThat(
                                  areFlinkClassesThatResideOutsideOfConnectorPackagesAndArePublic()
                                            .or(
                                                    JavaClass.Predicates.resideOutsideOfPackages(
                                                            ""org.apache.flink..""))
                                            .or(
                                                    JavaClass.Predicates.resideInAnyPackage(
                                                            CONNECTOR_PACKAGES)) )
                            .as(
                                    ""Connector production code must depend only on public API when outside of connector packages""));

{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue May 28 22:37:59 UTC 2024,,,,,,,,,,"0|z1pff4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"26/May/24 08:39;chalixar;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59823&view=logs&s=ae4f8708-9994-57d3-c2d7-b892156e7812&j=fc5181b0-e452-5c8f-68de-1097947f6483;;;","28/May/24 22:37;jingge;master: b1025e66e7b13bce6a6407544420dc494cd5e1b2;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
